"","Type","Degree","Betweenness","Closeness"
"311","Sample Seed 2",1,0,2.14681648583316e-06
"312","Sample Seed 2",1,0,2.14681648583316e-06
"313","Sample Seed 2",1,0,2.14681648583316e-06
"314","Sample Seed 2",1,0,2.14681648583316e-06
"315","Sample Seed 2",1,0,2.14681648583316e-06
"316","Sample Seed 2",1,0,2.14681648583316e-06
"317","Sample Seed 2",1,0,2.14681648583316e-06
"318","Sample Seed 2",1,0,2.14681648583316e-06
"319","Sample Seed 2",1,0,2.14681648583316e-06
"320","Sample Seed 2",1,0,2.14681648583316e-06
"321","Sample Seed 2",1,0,2.14681648583316e-06
"322","Sample Seed 2",1,0,2.14681648583316e-06
"323","Sample Seed 2",1,0,2.14681648583316e-06
"324","Sample Seed 2",1,0,2.14681648583316e-06
"325","Sample Seed 2",1,0,2.14681648583316e-06
"326","Sample Seed 2",1,0,2.14681648583316e-06
"327","Sample Seed 2",1,0,2.14681648583316e-06
"328","Sample Seed 2",1,0,2.14681648583316e-06
"329","Sample Seed 2",1,0,2.14681648583316e-06
"330","Sample Seed 2",1,0,2.14681648583316e-06
"331","Sample Seed 2",1,0,2.14681648583316e-06
"332","Sample Seed 2",1,0,2.14681648583316e-06
"333","Sample Seed 2",1,0,2.14681648583316e-06
"334","Sample Seed 2",1,0,2.14681648583316e-06
"335","Sample Seed 2",1,0,2.14681648583316e-06
"336","Sample Seed 2",1,0,2.14681648583316e-06
"337","Sample Seed 2",1,0,2.14681648583316e-06
"338","Sample Seed 2",1,0,2.14681648583316e-06
"339","Sample Seed 2",1,0,2.14681648583316e-06
"340","Sample Seed 2",1,0,2.14681648583316e-06
"341","Sample Seed 2",1,0,2.14681648583316e-06
"342","Sample Seed 2",1,0,2.14681648583316e-06
"343","Sample Seed 2",1,0,2.14681648583316e-06
"344","Sample Seed 2",1,0,2.14681648583316e-06
"345","Sample Seed 2",1,0,2.14681648583316e-06
"346","Sample Seed 2",1,0,2.14681648583316e-06
"347","Sample Seed 2",1,0,2.14681648583316e-06
"348","Sample Seed 2",1,0,2.14681648583316e-06
"349","Sample Seed 2",1,0,2.14681648583316e-06
"350","Sample Seed 2",1,0,2.14681648583316e-06
"351","Sample Seed 2",1,0,2.14681648583316e-06
"352","Sample Seed 2",1,0,2.14681648583316e-06
"353","Sample Seed 2",1,0,2.14681648583316e-06
"354","Sample Seed 2",1,0,2.14681648583316e-06
"355","Sample Seed 2",1,0,2.14681648583316e-06
"356","Sample Seed 2",1,0,2.14681648583316e-06
"357","Sample Seed 2",1,0,2.14681648583316e-06
"358","Sample Seed 2",1,0,2.14681648583316e-06
"359","Sample Seed 2",1,0,2.14681648583316e-06
"360","Sample Seed 2",1,0,2.14681648583316e-06
"361","Sample Seed 2",1,0,2.14681648583316e-06
"362","Sample Seed 2",1,0,2.14681648583316e-06
"363","Sample Seed 2",1,0,2.14681648583316e-06
"364","Sample Seed 2",1,0,2.14681648583316e-06
"365","Sample Seed 2",1,0,2.14681648583316e-06
"366","Sample Seed 2",1,0,2.14681648583316e-06
"367","Sample Seed 2",1,0,2.14681648583316e-06
"368","Sample Seed 2",1,0,2.14681648583316e-06
"369","Sample Seed 2",1,0,2.14681648583316e-06
"370","Sample Seed 2",1,0,2.14681648583316e-06
"371","Sample Seed 2",1,0,2.14681648583316e-06
"372","Sample Seed 2",1,0,2.14681648583316e-06
"373","Sample Seed 2",1,0,2.14681648583316e-06
"374","Sample Seed 2",1,0,2.14681648583316e-06
"375","Sample Seed 2",1,0,2.14681648583316e-06
"376","Sample Seed 2",1,0,2.14681648583316e-06
"377","Sample Seed 2",1,0,2.14681648583316e-06
"378","Sample Seed 2",1,0,2.14681648583316e-06
"379","Sample Seed 2",1,0,2.14681648583316e-06
"380","Sample Seed 2",1,0,2.14681648583316e-06
"381","Sample Seed 2",1,0,2.14681648583316e-06
"382","Sample Seed 2",1,0,2.14681648583316e-06
"383","Sample Seed 2",1,0,2.14681648583316e-06
"384","Sample Seed 2",1,0,2.14681648583316e-06
"385","Sample Seed 2",1,0,2.14681648583316e-06
"386","Sample Seed 2",1,0,2.14681648583316e-06
"387","Sample Seed 2",1,0,2.14681648583316e-06
"388","Sample Seed 2",1,0,2.14681648583316e-06
"389","Sample Seed 2",1,0,2.14681648583316e-06
"390","Sample Seed 2",1,0,2.14681648583316e-06
"391","Sample Seed 2",1,0,2.14681648583316e-06
"392","Sample Seed 2",1,0,2.14681648583316e-06
"393","Sample Seed 2",1,0,2.14681648583316e-06
"394","Sample Seed 2",1,0,2.14681648583316e-06
"395","Sample Seed 2",1,0,2.14681648583316e-06
"396","Sample Seed 2",1,0,2.14681648583316e-06
"397","Sample Seed 2",1,0,2.14681648583316e-06
"398","Sample Seed 2",1,0,2.14681648583316e-06
"399","Sample Seed 2",1,0,2.14681648583316e-06
"400","Sample Seed 2",1,0,2.14681648583316e-06
"401","Sample Seed 2",1,0,2.14681648583316e-06
"402","Sample Seed 2",1,0,2.14681648583316e-06
"403","Sample Seed 2",1,0,2.14681648583316e-06
"404","Sample Seed 2",1,0,2.14681648583316e-06
"405","Sample Seed 2",1,0,2.14681648583316e-06
"406","Sample Seed 2",1,0,2.14681648583316e-06
"407","Sample Seed 2",1,0,2.14681648583316e-06
"408","Sample Seed 2",1,0,2.14681648583316e-06
"409","Sample Seed 2",1,0,2.14681648583316e-06
"410","Sample Seed 2",1,0,2.14681648583316e-06
"411","Sample Seed 2",1,0,2.14681648583316e-06
"412","Sample Seed 2",1,0,2.14681648583316e-06
"413","Sample Seed 2",1,0,2.14681648583316e-06
